antecedent,consequent,confidence,lift,count,antecedent_count,support,size
Post_DOW=Wed & Mkt_reversion=mild_rally & Sentiment=neutral,NEXT_2h_Max=2h_rip,1.0,2.4688,8,8,0.1013,3
Post_DOW=Mon & Mkt_momentum=strong_up & Mkt_volatility=high,NEXT_2h_Max=2h_rip,1.0,2.4688,8,8,0.1013,3
Post_DOW=Wed & Mkt_momentum=strong_up & Sentiment=neutral,NEXT_2h_Max=2h_rip,1.0,2.4688,8,8,0.1013,3
Mkt_reversion=mild_rally & Mkt_momentum=strong_up & Sentiment=neutral,NEXT_2h_Max=2h_rip,1.0,2.4688,8,8,0.1013,3
Mkt_reversion=mild_rally & Mkt_volatility=high & Sentiment=neutral,NEXT_2h_Max=2h_rip,1.0,2.4688,8,8,0.1013,3
Subjectivity=factual & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,2
Polarity=neutral & Subjectivity=factual & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_Time=pre_market & Post_DOW=Tue,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_Time=pre_market & Buzz=high_buzz,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_Time=pre_market & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_DOW=Tue & Buzz=high_buzz,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_DOW=Tue & Sent_Trend=unknown,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_DOW=Tue & Mkt_reversion=mild_dip,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Post_DOW=Tue & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Buzz=high_buzz & Sent_Trend=unknown,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Sent_Trend=unknown & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Subjectivity=factual & Mkt_volume_regime=high_vol & Sentiment=neutral,NEXT_30m=30m_up,1.0,3.2917,6,6,0.0759,3
Post_DOW=Wed,NEXT_Gap=gap_down,0.65,2.3341,13,20,0.1646,1
Post_DOW=Wed & Mkt_volatility=high,NEXT_Gap=gap_down,0.65,2.3341,13,20,0.1646,2
Mkt_reversion=fade_setup & Mkt_volume_regime=normal_vol,NEXT_1h_Spike=1h_big_spike,0.8571,1.2776,18,21,0.2278,2
Mkt_reversion=fade_setup & Mkt_volatility=high & Mkt_volume_regime=normal_vol,NEXT_1h_Spike=1h_big_spike,0.8571,1.2776,18,21,0.2278,3
Post_Time=market_hours & Mkt_momentum=strong_up & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_UP,0.9286,1.6302,13,14,0.1646,3
Sent_Trend=stable & Mkt_trend=uptrend & Mkt_reversion=fade_setup,NEXT_DayDir=day_UP,0.9286,1.6302,13,14,0.1646,3
Sent_Trend=stable & Mkt_reversion=fade_setup & Mkt_momentum=strong_up,NEXT_DayDir=day_UP,0.9286,1.6302,13,14,0.1646,3
Mkt_trend_strength=weak_downtrend,NEXT_DayDir=day_DOWN,0.7778,1.8072,14,18,0.1772,1
Mkt_trend_strength=weak_downtrend & Mkt_volatility=high,NEXT_DayDir=day_DOWN,0.7778,1.8072,14,18,0.1772,2
Mkt_trend_strength=weak_downtrend & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_DOWN,0.7778,1.8072,14,18,0.1772,2
Mkt_trend_strength=weak_downtrend & Mkt_volatility=high & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_DOWN,0.7778,1.8072,14,18,0.1772,3
Sent_Trend=stable & Mkt_reversion=fade_setup,NEXT_1h_Spike=1h_big_spike,0.9375,1.3974,15,16,0.1899,2
Sent_Trend=stable & Mkt_reversion=fade_setup & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,0.9375,1.3974,15,16,0.1899,3
Subjectivity=mixed & Sent_Trend=stable & Mkt_momentum=strong_up,NEXT_2Day=2day_big_down,0.8,2.0387,12,15,0.1519,3
Post_DOW=Tue & Sent_Trend=unknown,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,2
Post_DOW=Tue & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,2
Sent_Trend=unknown & Mkt_reversion=mild_dip,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,2
Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,2
Post_DOW=Tue & Sent_Trend=unknown & Mkt_volatility=high,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,3
Post_DOW=Tue & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,3
Sent_Trend=unknown & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,3
Sent_Trend=unknown & Mkt_reversion=mild_dip & Mkt_volatility=high,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,3
Mkt_reversion=mild_dip & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_30m=30m_up,0.7333,2.4139,11,15,0.1392,3
Mkt_reversion=mild_rally,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,1
Polarity=neutral & Post_Time=market_hours,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Subjectivity=factual & Mkt_reversion=fade_setup,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Post_Time=market_hours & Sentiment=neutral,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Post_DOW=Wed & Mkt_reversion=mild_rally,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Post_DOW=Wed & Mkt_momentum=strong_up,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Mkt_reversion=mild_rally & Mkt_momentum=strong_up,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Mkt_reversion=mild_rally & Mkt_volatility=high,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,2
Polarity=neutral & Subjectivity=factual & Mkt_reversion=fade_setup,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Polarity=neutral & Post_Time=market_hours & Mkt_volatility=high,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Polarity=neutral & Post_Time=market_hours & Sentiment=neutral,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Polarity=neutral & Buzz=moderate_buzz & Mkt_momentum=strong_up,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Subjectivity=factual & Mkt_reversion=fade_setup & Mkt_volatility=high,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Subjectivity=factual & Mkt_reversion=fade_setup & Sentiment=neutral,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Post_Time=market_hours & Mkt_volatility=high & Sentiment=neutral,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Post_DOW=Wed & Mkt_reversion=mild_rally & Mkt_momentum=strong_up,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Post_DOW=Wed & Mkt_reversion=mild_rally & Mkt_volatility=high,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Post_DOW=Wed & Mkt_momentum=strong_up & Mkt_volatility=high,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Buzz=moderate_buzz & Mkt_momentum=strong_up & Sentiment=neutral,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Mkt_reversion=mild_rally & Mkt_momentum=strong_up & Mkt_volatility=high,NEXT_2h_Max=2h_rip,0.8462,2.0889,11,13,0.1392,3
Mkt_trend_strength=strong_uptrend,NEXT_Gap=gap_down,0.6,2.1545,15,25,0.1899,1
Mkt_trend_strength=strong_uptrend & Mkt_momentum=strong_up,NEXT_Gap=gap_down,0.6,2.1545,15,25,0.1899,2
Mkt_trend_strength=strong_uptrend & Mkt_volatility=high,NEXT_Gap=gap_down,0.6,2.1545,15,25,0.1899,2
Sent_Trend=stable & Mkt_trend=uptrend & Mkt_volume_regime=normal_vol,NEXT_Gap=gap_down,0.6,2.1545,15,25,0.1899,3
Mkt_trend_strength=strong_uptrend & Mkt_momentum=strong_up & Mkt_volatility=high,NEXT_Gap=gap_down,0.6,2.1545,15,25,0.1899,3
Post_Time=market_hours & Mkt_trend_strength=strong_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Post_DOW=Tue & Buzz=high_buzz,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Post_DOW=Tue & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,2
Polarity=neutral & Sent_Trend=stable & Mkt_trend_strength=strong_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_Time=market_hours & Mkt_trend=uptrend & Mkt_trend_strength=strong_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_Time=market_hours & Mkt_trend=uptrend & Mkt_momentum=strong_up,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_Time=market_hours & Mkt_trend=uptrend & Mkt_volume_regime=normal_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_Time=market_hours & Mkt_trend_strength=strong_uptrend & Mkt_momentum=strong_up,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_Time=market_hours & Mkt_trend_strength=strong_uptrend & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_Time=market_hours & Mkt_trend_strength=strong_uptrend & Mkt_volume_regime=normal_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Sent_Trend=unknown,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_trend=uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_reversion=mild_dip & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Post_DOW=Tue & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_reversion=mild_dip & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Buzz=high_buzz & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=stable & Mkt_trend_strength=strong_uptrend & Sentiment=neutral,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Sent_Trend=unknown & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend=uptrend & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_trend_strength=weak_uptrend & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_reversion=mild_dip & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_reversion=mild_dip & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Mkt_momentum=strong_down & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_1h_Spike=1h_big_spike,1.0,1.4906,13,13,0.1646,3
Subjectivity=mixed & Sent_Trend=stable,NEXT_2Day=2day_big_down,0.7647,1.9488,13,17,0.1646,2
Subjectivity=mixed & Sent_Trend=stable & Mkt_volatility=high,NEXT_2Day=2day_big_down,0.7647,1.9488,13,17,0.1646,3
Subjectivity=mixed & Sent_Trend=stable & Mkt_volume_regime=normal_vol,NEXT_2Day=2day_big_down,0.7647,1.9488,13,17,0.1646,3
Mkt_trend=uptrend & Mkt_trend_strength=strong_uptrend,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,2
Mkt_trend_strength=strong_uptrend & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,2
Mkt_trend=uptrend & Mkt_trend_strength=strong_uptrend & Mkt_momentum=strong_up,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,3
Mkt_trend=uptrend & Mkt_trend_strength=strong_uptrend & Mkt_volatility=high,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,3
Mkt_trend=uptrend & Mkt_trend_strength=strong_uptrend & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,3
Mkt_trend_strength=strong_uptrend & Mkt_momentum=strong_up & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,3
Mkt_trend_strength=strong_uptrend & Mkt_volatility=high & Mkt_volume_regime=normal_vol,NEXT_DayDir=day_UP,0.7826,1.3739,18,23,0.2278,3
Sent_Trend=stable & Mkt_trend_strength=weak_uptrend,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,2
Mkt_trend_strength=weak_uptrend & Mkt_reversion=fade_setup,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,2
Sent_Trend=stable & Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,3
Sent_Trend=stable & Mkt_trend_strength=weak_uptrend & Mkt_volatility=high,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,3
Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend & Mkt_reversion=fade_setup,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,3
Mkt_trend_strength=weak_uptrend & Mkt_reversion=fade_setup & Mkt_momentum=strong_up,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,3
Mkt_trend_strength=weak_uptrend & Mkt_reversion=fade_setup & Mkt_volatility=high,NEXT_Gap=big_gap_up,0.8571,3.7619,6,7,0.0759,3
Post_Time=pre_market & Mkt_trend=uptrend,NEXT_Gap=big_gap_down,0.5714,2.8214,12,21,0.1519,2
Post_Time=pre_market & Mkt_trend=uptrend & Mkt_volatility=high,NEXT_Gap=big_gap_down,0.5714,2.8214,12,21,0.1519,3
