antecedent,consequent,support,confidence,lift,count,antecedent_count,antecedent_size
BB_Squeeze=wide & VWAP_Pos=far_above & Fast_Trend=strong_up,NEXT_GapAction=gap_down_recover,0.0667,0.6667,2.6667,4,6,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Fast_Trend=strong_down,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Fast_Trend=flat,NEXT_MoveType=mixed,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Fast_Trend=strong_up,NEXT_UpDown=NEXT_DOWN,0.1,0.6,1.3333,6,10,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Fast_Trend=strong_up,NEXT_GapDir=gap_UP,0.1167,0.7,1.5,7,10,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Fast_Trend=strong_up,NEXT_TotalDir=total_DOWN,0.1,0.6,1.44,6,10,3
BB_Squeeze=normal & VWAP_Pos=far_below & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.0667,0.8,1.7778,4,5,3
BB_Squeeze=normal & VWAP_Pos=far_below & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.0667,0.8,1.5484,4,5,3
BB_Squeeze=normal & VWAP_Pos=far_below & Trend_Break=intact,NEXT_GapSize=gap_big_down,0.05,0.6,2.4,3,5,3
BB_Squeeze=normal & VWAP_Pos=far_below & Trend_Break=intact,NEXT_TotalDir=total_DOWN,0.05,0.6,1.44,3,5,3
BB_Squeeze=normal & VWAP_Pos=far_below & Trend_Break=intact,NEXT_MoveType=intraday_move,0.05,0.6,1.6364,3,5,3
BB_Squeeze=normal & VWAP_Pos=far_below & Trend_Break=intact,NEXT_GapAction=gap_down_continue,0.05,0.6,3.6,3,5,3
BB_Squeeze=wide & VWAP_Pos=far_below & Trend_Break=intact,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,3
BB_Squeeze=wide & VWAP_Pos=far_below & Trend_Break=intact,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,3
BB_Squeeze=wide & VWAP_Pos=far_below & Trend_Break=intact,NEXT_MoveType=intraday_move,0.05,0.75,2.0455,3,4,3
BB_Squeeze=wide & VWAP_Pos=far_above & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.15,0.8182,1.5341,9,11,3
BB_Squeeze=wide & VWAP_Pos=far_above & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.1167,0.6364,1.2317,7,11,3
BB_Squeeze=wide & VWAP_Pos=far_above & Trend_Break=intact,NEXT_TotalDir=total_UP,0.1333,0.7273,1.2834,8,11,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Trend_Break=breaking,NEXT_TotalDir=total_DOWN,0.0667,0.6667,1.6,4,6,3
BB_Squeeze=normal & VWAP_Pos=far_below & Reversion=mild_dip,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_UpDown=NEXT_UP,0.0833,1.0,1.875,5,5,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_Dir=next_big_up,0.0667,0.8,2.5263,4,5,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_TotalDir=total_UP,0.0667,0.8,1.4118,4,5,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_TotalSize=total_rip,0.0667,0.8,4.0,4,5,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_GapAction=gap_and_go,0.05,0.6,3.2727,3,5,3
BB_Squeeze=wide & VWAP_Pos=far_above & Reversion=neutral,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=bounce_setup,NEXT_TotalDir=total_DOWN,0.0833,0.7143,1.7143,5,7,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_UpDown=NEXT_DOWN,0.1,0.6,1.3333,6,10,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.1,0.6,1.2857,6,10,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=mild_dip,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=mild_dip,NEXT_TotalSize=total_up,0.05,0.75,4.0909,3,4,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=mild_rally,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=neutral,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=neutral,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=neutral,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=very_wide & VWAP_Pos=far_above & Reversion=neutral,NEXT_MoveType=mixed,0.05,0.75,1.8,3,4,3
BB_Squeeze=normal & ATR_Regime=high_vol & Streak=2_down,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=normal & ATR_Regime=high_vol & Streak=2_down,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=normal & ATR_Regime=high_vol & Streak=2_down,NEXT_MoveType=intraday_move,0.05,0.75,2.0455,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=2_down,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=2_down,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=2_down,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=1_up,NEXT_GapDir=gap_UP,0.0833,0.8333,1.7857,5,6,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=1_up,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=long_up,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,3
BB_Squeeze=wide & ATR_Regime=high_vol & Streak=long_up,NEXT_Dir=next_big_up,0.05,1.0,3.1579,3,3,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Streak=2_down,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Streak=2_down,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Streak=2_down,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Streak=2_down,NEXT_GapAction=gap_fade,0.05,1.0,5.0,3,3,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=flat,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=flat,NEXT_GapDir=gap_UP,0.0667,0.8,1.7143,4,5,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=flat,NEXT_TotalDir=total_UP,0.0667,0.8,1.4118,4,5,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=flat,NEXT_TotalSize=total_up,0.05,0.6,3.2727,3,5,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=flat,NEXT_MoveType=gap_move,0.05,0.6,3.0,3,5,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_UpDown=NEXT_UP,0.0667,1.0,1.875,4,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_Dir=next_big_up,0.05,0.75,2.3684,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_TotalDir=total_UP,0.0667,1.0,1.7647,4,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_MoveType=intraday_move,0.05,0.75,2.0455,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_GapAction=gap_down_recover,0.05,0.75,3.0,3,4,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Prev_Change=gain,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Prev_Change=surge,NEXT_GapDir=gap_UP,0.0667,0.6667,1.4286,4,6,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Prev_Change=crash,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Prev_Change=big_gain,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Prev_Change=big_gain,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Prev_Change=big_gain,NEXT_MoveType=intraday_move,0.05,1.0,2.7273,3,3,3
BB_Squeeze=normal & ATR_Regime=high_vol & Fast_Trend=up,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=normal & ATR_Regime=high_vol & Fast_Trend=up,NEXT_MoveType=intraday_move,0.05,1.0,2.7273,3,3,3
BB_Squeeze=wide & ATR_Regime=high_vol & Fast_Trend=strong_down,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,3
BB_Squeeze=wide & ATR_Regime=high_vol & Fast_Trend=strong_down,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,3
BB_Squeeze=wide & ATR_Regime=high_vol & Fast_Trend=strong_down,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,3
BB_Squeeze=wide & ATR_Regime=high_vol & Fast_Trend=strong_up,NEXT_UpDown=NEXT_UP,0.1,0.6667,1.25,6,9,3
BB_Squeeze=wide & ATR_Regime=high_vol & Fast_Trend=strong_up,NEXT_GapDir=gap_UP,0.1,0.6667,1.4286,6,9,3
BB_Squeeze=wide & ATR_Regime=high_vol & Fast_Trend=strong_up,NEXT_TotalDir=total_UP,0.1167,0.7778,1.3725,7,9,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Fast_Trend=flat,NEXT_MoveType=mixed,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Fast_Trend=up,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Fast_Trend=up,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Fast_Trend=strong_up,NEXT_GapDir=gap_UP,0.0833,0.625,1.3393,5,8,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Fast_Trend=strong_down,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,3
BB_Squeeze=normal & ATR_Regime=high_vol & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.0833,0.625,1.3889,5,8,3
BB_Squeeze=normal & ATR_Regime=high_vol & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.0833,0.625,1.2097,5,8,3
BB_Squeeze=wide & ATR_Regime=high_vol & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.2,0.6667,1.25,12,18,3
BB_Squeeze=wide & ATR_Regime=high_vol & Trend_Break=intact,NEXT_TotalDir=total_UP,0.2167,0.7222,1.2745,13,18,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.15,0.6,1.125,9,15,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Trend_Break=intact,NEXT_MoveType=mixed,0.15,0.6,1.44,9,15,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.0833,0.625,1.3889,5,8,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.0833,0.625,1.2097,5,8,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Trend_Break=intact,NEXT_MoveType=intraday_move,0.0833,0.625,1.7045,5,8,3
BB_Squeeze=normal & ATR_Regime=high_vol & Reversion=mild_dip,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=normal & ATR_Regime=high_vol & Reversion=mild_dip,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=normal & ATR_Regime=high_vol & Reversion=mild_dip,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_UpDown=NEXT_UP,0.0833,0.625,1.1719,5,8,3
BB_Squeeze=wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.1,0.75,1.6071,6,8,3
BB_Squeeze=wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_TotalDir=total_UP,0.1,0.75,1.3235,6,8,3
BB_Squeeze=wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_UpDown=NEXT_UP,0.0833,0.7143,1.3393,5,7,3
BB_Squeeze=wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_GapDir=gap_DOWN,0.1,0.8571,1.659,6,7,3
BB_Squeeze=wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_TotalDir=total_UP,0.0833,0.7143,1.2605,5,7,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=bounce_setup,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_UpDown=NEXT_UP,0.05,0.6,1.125,3,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_TotalDir=total_UP,0.0667,0.8,1.4118,4,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_TotalSize=total_big_up,0.05,0.6,3.6,3,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=fade_setup,NEXT_MoveType=mixed,0.0667,0.8,1.92,4,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_GapDir=gap_DOWN,0.0667,0.8,1.5484,4,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_TotalDir=total_DOWN,0.05,0.6,1.44,3,5,3
BB_Squeeze=very_wide & ATR_Regime=high_vol & Reversion=neutral,NEXT_MoveType=mixed,0.0667,0.8,1.92,4,5,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Reversion=fade_setup,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Reversion=fade_setup,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=very_wide & ATR_Regime=extreme_vol & Reversion=fade_setup,NEXT_MoveType=intraday_move,0.0667,1.0,2.7273,4,4,3
BB_Squeeze=wide & Streak=1_up & Prev_Change=flat,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,3
BB_Squeeze=wide & Streak=1_up & Prev_Change=flat,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_UpDown=NEXT_DOWN,0.0667,0.8,1.7778,4,5,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_Dir=next_mod_down,0.05,0.6,3.2727,3,5,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_GapDir=gap_UP,0.0667,0.8,1.7143,4,5,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_GapSize=gap_big_up,0.05,0.6,2.7692,3,5,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_TotalDir=total_DOWN,0.0667,0.8,1.92,4,5,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_MoveType=mixed,0.05,0.6,1.44,3,5,3
BB_Squeeze=very_wide & Streak=2_down & Prev_Change=surge,NEXT_GapAction=gap_fade,0.0667,0.8,4.0,4,5,3
BB_Squeeze=wide & Streak=long_up & Fast_Trend=strong_up,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,3
BB_Squeeze=wide & Streak=long_up & Fast_Trend=strong_up,NEXT_Dir=next_big_up,0.05,1.0,3.1579,3,3,3
BB_Squeeze=very_wide & Streak=2_down & Fast_Trend=strong_up,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & Streak=2_up & Fast_Trend=strong_up,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,3
BB_Squeeze=wide & Streak=2_down & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,3
BB_Squeeze=wide & Streak=2_down & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=wide & Streak=2_down & Trend_Break=intact,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,3
BB_Squeeze=wide & Streak=1_up & Trend_Break=intact,NEXT_GapDir=gap_UP,0.0833,0.7143,1.5306,5,7,3
BB_Squeeze=wide & Streak=1_up & Trend_Break=intact,NEXT_TotalDir=total_UP,0.0833,0.7143,1.2605,5,7,3
BB_Squeeze=wide & Streak=long_up & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,3
BB_Squeeze=wide & Streak=long_up & Trend_Break=intact,NEXT_Dir=next_big_up,0.05,1.0,3.1579,3,3,3
BB_Squeeze=very_wide & Streak=2_down & Trend_Break=breaking,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & Streak=2_down & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=very_wide & Streak=2_down & Trend_Break=intact,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,3
BB_Squeeze=very_wide & Streak=2_down & Trend_Break=intact,NEXT_MoveType=mixed,0.05,0.75,1.8,3,4,3
BB_Squeeze=very_wide & Streak=2_down & Trend_Break=intact,NEXT_GapAction=gap_fade,0.05,0.75,3.75,3,4,3
BB_Squeeze=very_wide & Streak=1_up & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,3
BB_Squeeze=very_wide & Streak=1_up & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,3
BB_Squeeze=very_wide & Streak=1_up & Trend_Break=intact,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,3
BB_Squeeze=very_wide & Streak=2_up & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,3
BB_Squeeze=very_wide & Streak=2_up & Trend_Break=intact,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,3
BB_Squeeze=very_wide & Streak=2_up & Trend_Break=intact,NEXT_TotalDir=total_DOWN,0.0667,0.8,1.92,4,5,3
BB_Squeeze=wide & Streak=1_up & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,3
BB_Squeeze=wide & Streak=long_up & Reversion=fade_setup,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,3
BB_Squeeze=wide & Streak=long_up & Reversion=fade_setup,NEXT_Dir=next_big_up,0.05,1.0,3.1579,3,3,3
BB_Squeeze=very_wide & Streak=2_down & Reversion=bounce_setup,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=very_wide & Streak=2_down & Reversion=bounce_setup,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,3
BB_Squeeze=very_wide & Streak=2_down & Reversion=bounce_setup,NEXT_GapSize=gap_big_up,0.05,0.75,3.4615,3,4,3
BB_Squeeze=very_wide & Streak=2_down & Reversion=bounce_setup,NEXT_TotalDir=total_DOWN,0.0667,1.0,2.4,4,4,3
BB_Squeeze=very_wide & Streak=2_down & Reversion=bounce_setup,NEXT_GapAction=gap_fade,0.05,0.75,3.75,3,4,3
BB_Squeeze=very_wide & Streak=2_up & Reversion=fade_setup,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=very_wide & Streak=2_up & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,3
BB_Squeeze=very_wide & Streak=2_up & Reversion=fade_setup,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=wide & Prev_Change=surge & Fast_Trend=strong_up,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,3
BB_Squeeze=wide & Prev_Change=surge & Fast_Trend=strong_up,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,3
BB_Squeeze=very_wide & Prev_Change=crash & Fast_Trend=strong_down,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=very_wide & Prev_Change=surge & Fast_Trend=strong_up,NEXT_GapDir=gap_UP,0.0667,0.6667,1.4286,4,6,3
BB_Squeeze=wide & Prev_Change=big_drop & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=wide & Prev_Change=flat & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,3
BB_Squeeze=wide & Prev_Change=flat & Trend_Break=intact,NEXT_GapDir=gap_UP,0.0667,0.8,1.7143,4,5,3
BB_Squeeze=wide & Prev_Change=flat & Trend_Break=intact,NEXT_TotalDir=total_UP,0.0667,0.8,1.4118,4,5,3
BB_Squeeze=wide & Prev_Change=flat & Trend_Break=intact,NEXT_TotalSize=total_up,0.05,0.6,3.2727,3,5,3
BB_Squeeze=wide & Prev_Change=flat & Trend_Break=intact,NEXT_MoveType=gap_move,0.05,0.6,3.0,3,5,3
BB_Squeeze=wide & Prev_Change=surge & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.0667,1.0,1.875,4,4,3
BB_Squeeze=wide & Prev_Change=surge & Trend_Break=intact,NEXT_Dir=next_big_up,0.05,0.75,2.3684,3,4,3
BB_Squeeze=wide & Prev_Change=surge & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=wide & Prev_Change=surge & Trend_Break=intact,NEXT_TotalDir=total_UP,0.0667,1.0,1.7647,4,4,3
BB_Squeeze=wide & Prev_Change=surge & Trend_Break=intact,NEXT_MoveType=intraday_move,0.05,0.75,2.0455,3,4,3
BB_Squeeze=wide & Prev_Change=surge & Trend_Break=intact,NEXT_GapAction=gap_down_recover,0.05,0.75,3.0,3,4,3
BB_Squeeze=very_wide & Prev_Change=crash & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,3
BB_Squeeze=very_wide & Prev_Change=crash & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=very_wide & Prev_Change=crash & Trend_Break=intact,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,3
BB_Squeeze=very_wide & Prev_Change=gain & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,3
BB_Squeeze=very_wide & Prev_Change=gain & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,3
BB_Squeeze=very_wide & Prev_Change=gain & Trend_Break=intact,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,3
BB_Squeeze=very_wide & Prev_Change=gain & Trend_Break=intact,NEXT_MoveType=mixed,0.05,0.75,1.8,3,4,3
BB_Squeeze=very_wide & Prev_Change=surge & Trend_Break=intact,NEXT_UpDown=NEXT_DOWN,0.0667,0.6667,1.4815,4,6,3
BB_Squeeze=very_wide & Prev_Change=surge & Trend_Break=intact,NEXT_GapDir=gap_UP,0.0833,0.8333,1.7857,5,6,3
BB_Squeeze=very_wide & Prev_Change=surge & Trend_Break=intact,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,3
BB_Squeeze=very_wide & Prev_Change=surge & Trend_Break=intact,NEXT_MoveType=mixed,0.0667,0.6667,1.6,4,6,3
BB_Squeeze=very_wide & Prev_Change=surge & Trend_Break=intact,NEXT_GapAction=gap_fade,0.0667,0.6667,3.3333,4,6,3
BB_Squeeze=wide & Prev_Change=flat & Reversion=fade_setup,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,3
BB_Squeeze=wide & Prev_Change=flat & Reversion=fade_setup,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,3
BB_Squeeze=very_wide & Prev_Change=surge & Reversion=bounce_setup,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,3
BB_Squeeze=wide & Fast_Trend=strong_down & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.05,0.6,1.125,3,5,3
BB_Squeeze=wide & Fast_Trend=strong_down & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.0667,0.8,1.5484,4,5,3
BB_Squeeze=wide & Fast_Trend=strong_up & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.1167,0.7,1.3125,7,10,3
BB_Squeeze=wide & Fast_Trend=strong_up & Trend_Break=intact,NEXT_Dir=next_big_up,0.1,0.6,1.8947,6,10,3
BB_Squeeze=wide & Fast_Trend=strong_up & Trend_Break=intact,NEXT_GapDir=gap_UP,0.1,0.6,1.2857,6,10,3
BB_Squeeze=wide & Fast_Trend=strong_up & Trend_Break=intact,NEXT_TotalDir=total_UP,0.1333,0.8,1.4118,8,10,3
BB_Squeeze=very_wide & Fast_Trend=strong_down & Trend_Break=intact,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,3
BB_Squeeze=very_wide & Fast_Trend=flat & Trend_Break=intact,NEXT_MoveType=mixed,0.05,1.0,2.4,3,3,3
BB_Squeeze=very_wide & Fast_Trend=up & Trend_Break=intact,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,3
BB_Squeeze=very_wide & Fast_Trend=up & Trend_Break=intact,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,3
BB_Squeeze=very_wide & Fast_Trend=up & Trend_Break=intact,NEXT_TotalSize=total_up,0.0667,0.6667,3.6364,4,6,3
